task,base_sample_id,image_filename,query,expression_structure,target_category,target_coco_match_iou,same_category_distractors,gt_area_ratio,baseline_state,result_state,transition,baseline_iou,result_iou,iou_delta,baseline_box,result_box,gt_box,candidate_applied,baseline_zero_box_class,baseline_zero_match_category,baseline_zero_match_iou,result_zero_box_class,result_zero_match_category,result_zero_match_iou
t2_vqa_grounding,hallu_000000_COCO_train2014_000000253945,COCO_train2014_000000253945.jpg,the umbrella held by the person,relation,umbrella,1.0,3,0.06865159104215456,overlap,overlap,nonzero_remained_nonzero,0.3783748960441789,0.37600062649316535,-0.0023742695510135525,"[136.0,20.0,288.0,75.0]","[136.0,20.0,287.0,75.0]","[134.45,26.02,288.28,147.98]",True,,,0.0,,,0.0
t2_vqa_grounding,hallu_000003_COCO_train2014_000000052219,COCO_train2014_000000052219.jpg,the person sitting at the table,relation,person,1.0,1,0.15932810675182477,overlap,overlap,nonzero_remained_nonzero,0.9385521873983088,0.9441655924357186,0.005613405037409813,"[133.0,75.0,317.0,293.0]","[134.0,75.0,318.0,306.0]","[131.78,72.75,315.15999999999997,301.28999999999996]",True,,,0.0,,,0.0
t2_vqa_grounding,hallu_000004_COCO_train2014_000000154911,COCO_train2014_000000154911.jpg,the laptop on the orange table,relation,laptop,1.0,1,0.05708395996093749,overlap,overlap,nonzero_remained_nonzero,0.026901463245279613,0.025752337234953578,-0.0011491260103260355,"[191.0,312.0,398.0,445.0]","[190.0,314.0,398.0,450.0]","[382.92,286.74,552.27,390.29]",True,,,0.0,,,0.0
t2_vqa_grounding,hallu_000005_COCO_train2014_000000039527,COCO_train2014_000000039527.jpg,the teddy bear next to the person,relation,teddy bear,1.0,3,0.09459023161764707,valid_zero,valid_zero,valid_zero_unresolved,0.0,0.0,0.0,"[416.0,49.0,640.0,247.0]","[416.0,50.0,578.0,249.0]","[138.67,0.33,373.12,110.07]",True,wrong_same_category_instance,teddy bear,0.6403563509386022,wrong_same_category_instance,teddy bear,0.8892524710205476
t2_vqa_grounding,hallu_000007_COCO_train2014_000000139152,COCO_train2014_000000139152.jpg,the car behind the bird,relation,car,1.0,1,0.12930956719483566,false_rejection,false_rejection,false_rejection_unchanged,0.0,0.0,0.0,null,null,"[419.3,0.96,638.52,161.78]",False,,,0.0,,,0.0
t2_vqa_grounding,hallu_000008_COCO_train2014_000000500224,COCO_train2014_000000500224.jpg,the catcher in the blue uniform,attribute,person,1.0,2,0.18055414354354352,overlap,overlap,nonzero_remained_nonzero,0.7466478598552602,0.7529513284150583,0.006303468559798131,"[329.0,76.0,468.0,277.0]","[329.0,76.0,468.0,275.0]","[314.08,59.1,465.80999999999995,257.23]",True,,,0.0,,,0.0
t2_vqa_grounding,hallu_000009_COCO_train2014_000000047020,COCO_train2014_000000047020.jpg,the bicycle in front of the motorcycle,relation,bicycle,1.0,2,0.09683781017964072,false_rejection,false_rejection,false_rejection_unchanged,0.0,0.0,0.0,null,null,"[1.08,435.3,279.57,493.37]",False,,,0.0,,,0.0
t2_vqa_grounding,hallu_000012_COCO_train2014_000000567301,COCO_train2014_000000567301.jpg,the couch next to the vase,relation,couch,1.0,1,0.1744140970052083,valid_zero,overlap,valid_zero_recovered,0.0,0.686852986205292,0.686852986205292,"[398.0,214.0,534.0,350.0]","[0.0,235.0,316.0,476.0]","[0.79,237.12,221.92999999999998,479.40999999999997]",True,wrong_same_category_instance,couch,0.8973384373225459,,,0.0
t2_vqa_grounding,hallu_000017_COCO_train2014_000000461281,COCO_train2014_000000461281.jpg,the person holding the frisbee,relation,person,1.0,3,0.14907612083333333,overlap,overlap,nonzero_remained_nonzero,0.8991115624312744,0.9061182880300064,0.007006725598731944,"[250.0,51.0,360.0,300.0]","[250.0,49.0,360.0,300.0]","[248.88,34.04,356.5,300.0]",True,,,0.0,,,0.0
t2_vqa_grounding,hallu_000018_COCO_train2014_000000506011,COCO_train2014_000000506011.jpg,the cake on the dining table,relation,cake,1.0,1,0.0636797555620609,overlap,overlap,nonzero_remained_nonzero,0.8563741653006074,0.8676675878144785,0.01129342251387111,"[362.0,227.0,572.0,316.0]","[364.0,227.0,570.0,318.0]","[356.95,231.25,558.46,317.61]",True,,,0.0,,,0.0
