base_sample_id,image_filename,query,audited_tasks,query_binds_gt_target,target_category,apparent_gender,gender_evidence,gender_review_flag,colors,materials,other_attributes,actions_or_states,supported_atoms,contradicted_atoms,not_visible_atoms,disambiguating_cues,instance_confusion_risk,likely_zero_iou_cause,reason
hallu_000005_COCO_train2014_000000039527,COCO_train2014_000000039527.jpg,the teddy bear next to the person,t2_vqa_grounding|t4_caption_grounding,yes,teddy bear,not_applicable,,not_applicable,"[{""part"":""body"",""value"":""pink"",""confidence"":""high"",""evidence"":""entire visible plush body is vivid pink; fur appears uniformly colored""},{""part"":""ears"",""value"":""pink"",""confidence"":""high"",""evidence"":""ears are same pink as body, slightly lighter due to lighting but no distinct color difference""},{""part"":""snout/nose area"",""value"":""light pink or off-white"",""confidence"":""medium"",""evidence"":""small triangular patch near nose appears paler than main body, possibly stitched fabric or lighter fur""}]","[{""part"":""body"",""value"":""plush/fuzzy fabric"",""confidence"":""high"",""evidence"":""soft, long-pile texture visible; light reflects diffusely, characteristic of plush toys""},{""part"":""eyes"",""value"":""black plastic or embroidered"",""confidence"":""medium"",""evidence"":""two small dark circular features; too blurry to confirm material, but consistent with standard teddy bear eyes""}]","[{""attribute"":""size relative to person"",""confidence"":""high"",""evidence"":""occupies significant portion of head/shoulder area; appears medium-large plush toy""},{""attribute"":""positioned on person's head/upper chest"",""confidence"":""high"",""evidence"":""rests directly on person’s forehead/hairline, partially covering hair""}]","[{""value"":""lying still"",""confidence"":""high"",""evidence"":""no motion blur; static pose resting on person""}]","[{""atom"":""the teddy bear"",""type"":""object"",""verdict"":""supported"",""evidence"":""gt box contains a plush bear-shaped object with typical features (round head, ears, snout)""},{""atom"":""next to the person"",""type"":""relation"",""verdict"":""supported"",""evidence"":""pink teddy bear is in direct contact with person’s head/hair; spatially adjacent""}]",[],[],"[""pink color (distinct from brown/yellow bears)"", ""position directly on person’s head/forehead"", ""larger size compared to foreground brown bear"", ""no ribbon or accessory (unlike brown bear with orange ribbon)"", ""not being held (unlike yellow-brown bear)""]",high,same_category_instance_confusion,"The referring expression correctly describes the GT target, a pink teddy bear resting on the person's head. However, the presence of multiple other teddy bears in the scene (a brown one with a ribbon, a yellow-brown one being held) caused the baseline models to select the wrong same-category instances."
hallu_000007_COCO_train2014_000000139152,COCO_train2014_000000139152.jpg,the car behind the bird,t4_caption_grounding,yes,car,not_applicable,,not_applicable,"[{""part"":""body"",""value"":""light gray or silver"",""confidence"":""medium"",""evidence"":""blurred but consistent with light metallic tone; bokeh highlights suggest reflective surface""}]","[{""part"":""body"",""value"":""metallic paint"",""confidence"":""medium"",""evidence"":""soft specular highlights and smooth gradient across blurred surface, typical of painted metal""}]","[{""attribute"":""vehicle type: sedan-like"",""confidence"":""low"",""evidence"":""blurred silhouette shows a roofline and window shape consistent with a passenger car, possibly sedan; no clear wheels or grille""}]","[{""value"":""stationary"",""confidence"":""high"",""evidence"":""no motion blur; positioned behind bird on static car roof; background bokeh suggests camera focus on foreground, not motion""}]","[{""atom"":""car"",""type"":""object"",""verdict"":""supported"",""evidence"":""GT box contains a vehicle-shaped blurred object consistent with a car""},{""atom"":""behind the bird"",""type"":""relation"",""verdict"":""supported"",""evidence"":""bird is in sharp focus on foreground car roof; GT-boxed object is out-of-focus in background, confirming spatial relation 'behind'""}]",[],[],"[""depth blur: GT object is significantly more out-of-focus than the bird, confirming it is behind"", ""relative position: GT box is directly above and behind the bird in the image plane, matching 'behind the bird'"", ""shape: elongated horizontal form with window-like dark band, consistent with car side profile""]",high,same_category_instance_confusion,"The referring expression specifies the car behind the bird. The GT box correctly encloses the background car, while the baseline incorrectly grounds the foreground car the bird is standing on, resulting in same-category instance confusion and zero IoU."
hallu_000008_COCO_train2014_000000500224,COCO_train2014_000000500224.jpg,the catcher in the blue uniform,t4_caption_grounding,yes,person,male_presenting,"short hair visible under helmet, facial features and body proportions consistent with male-presenting child",no_automatic_flag,"[{""part"":""chest protector"",""value"":""blue"",""confidence"":""high"",""evidence"":""vibrant royal blue padded vest with vertical ridges""},{""part"":""helmet"",""value"":""black"",""confidence"":""high"",""evidence"":""glossy black catcher's helmet with face guard""},{""part"":""glove"",""value"":""tan/brown"",""confidence"":""high"",""evidence"":""worn leather catcher's mitt, light brown/tan""},{""part"":""pants"",""value"":""black"",""confidence"":""high"",""evidence"":""black baseball pants, slightly dusty""},{""part"":""shoes"",""value"":""black"",""confidence"":""high"",""evidence"":""black athletic cleats""}]","[{""part"":""chest protector"",""value"":""padded fabric/plastic"",""confidence"":""high"",""evidence"":""rigid segmented padding covered in blue fabric""},{""part"":""glove"",""value"":""leather"",""confidence"":""high"",""evidence"":""grainy texture and stitching typical of leather mitt""},{""part"":""helmet"",""value"":""plastic/composite"",""confidence"":""high"",""evidence"":""smooth glossy surface, rigid shape""}]","[{""attribute"":""wearing full catcher's gear"",""confidence"":""high"",""evidence"":""helmet, face mask, chest protector, shin guards, and mitt all present""},{""attribute"":""kneeling on dirt field"",""confidence"":""high"",""evidence"":""knees on ground, posture typical of catcher receiving pitch""}]","[{""value"":""crouching/kneeling in ready position"",""confidence"":""high"",""evidence"":""body low to ground, glove forward, eyes focused ahead""}]","[{""atom"":""the catcher"",""type"":""object"",""verdict"":""supported"",""evidence"":""Person is wearing full catcher's equipment and is in catcher's stance.""},{""atom"":""in the blue uniform"",""type"":""color"",""verdict"":""supported"",""evidence"":""Chest protector is distinctly blue, acting as the dominant visible uniform element.""},{""atom"":""person"",""type"":""object"",""verdict"":""supported"",""evidence"":""Human figure with clear head, torso, limbs.""}]",[],[],"[""blue chest protector"", ""full catcher's gear including mitt and shin guards"", ""kneeling posture specific to catcher role""]",medium,same_category_instance_confusion,"The referring expression accurately describes the GT target, a male-presenting child in full catcher's gear with a prominent blue chest protector. The baseline model failed by selecting a different child in a blue t-shirt, indicating same-category instance confusion based on the color blue."
hallu_000012_COCO_train2014_000000567301,COCO_train2014_000000567301.jpg,the couch next to the vase,t2_vqa_grounding|t4_caption_grounding,no,couch,not_applicable,,not_applicable,"[{""part"":""upholstery"",""value"":""cream or off-white"",""confidence"":""high"",""evidence"":""entire visible surface of couch is light neutral tone""},{""part"":""throw blanket"",""value"":""white"",""confidence"":""high"",""evidence"":""light-colored knitted blanket draped over seat""},{""part"":""pillows"",""value"":""cream or off-white"",""confidence"":""high"",""evidence"":""cushions match couch color""}]","[{""part"":""upholstery"",""value"":""leather or faux leather"",""confidence"":""medium"",""evidence"":""smooth surface with subtle sheen and creasing""},{""part"":""throw blanket"",""value"":""knitted fabric"",""confidence"":""high"",""evidence"":""visible knit texture and fringed hem""}]","[{""attribute"":""has remote control on seat"",""confidence"":""high"",""evidence"":""black rectangular object with buttons lying on blanket""},{""attribute"":""three segmented back cushions"",""confidence"":""high"",""evidence"":""clear vertical seams dividing backrest""}]","[{""value"":""woman standing in front"",""confidence"":""high"",""evidence"":""woman in green shirt stands directly in front of couch""}]","[{""atom"":""the couch"",""type"":""object"",""verdict"":""supported"",""evidence"":""green box tightly encloses a cream-colored multi-cushion couch""}]","[{""atom"":""next to the vase"",""type"":""relation"",""verdict"":""contradicted"",""evidence"":""no vase is visible adjacent to the GT couch; nearest vase-like object is near the distractor couch on the right""}]",[],"[""positioned against left wall"", ""three-segment backrest"", ""cream/off-white leather-like upholstery"", ""white knitted throw blanket with fringe"", ""remote control on seat""]",high,same_category_instance_confusion,"The GT target is a cream-colored couch on the left, but the referring expression specifies 'next to the vase'. Visual evidence shows no vase near the GT couch, while a floral arrangement is near the distractor couch on the right. The query likely refers to the right couch, causing models to predict the wrong same-category instance."
hallu_000055_COCO_train2014_000000555211,COCO_train2014_000000555211.jpg,the couch next to the coffee table,t2_vqa_grounding,yes,couch,not_applicable,,not_applicable,"[{""part"":""frame"",""value"":""light beige or off-white"",""confidence"":""high"",""evidence"":""light-colored wooden or painted frame visible on arms and base""},{""part"":""seat cushion"",""value"":""light beige or cream"",""confidence"":""high"",""evidence"":""uniform light neutral fabric covering the long seat""},{""part"":""backrest cushion"",""value"":""light beige or cream"",""confidence"":""high"",""evidence"":""same fabric as seat, continuous surface""},{""part"":""throw pillows"",""value"":""white, beige, purple, olive green"",""confidence"":""high"",""evidence"":""four visible pillows: two white/cream, one beige, one dark purple, one olive green""}]","[{""part"":""frame"",""value"":""painted wood or laminate"",""confidence"":""medium"",""evidence"":""smooth, uniform finish with no visible grain; consistent with painted wood or laminate""},{""part"":""upholstery"",""value"":""fabric"",""confidence"":""high"",""evidence"":""soft texture, slight creasing, matte finish typical of textile upholstery""}]","[{""attribute"":""shape"",""confidence"":""high"",""evidence"":""long rectangular chaise lounge style, low back, rolled arms""},{""attribute"":""size"",""confidence"":""high"",""evidence"":""extends nearly full width of window bay; appears longer than standard sofa""}]","[{""value"":""stationary"",""confidence"":""high"",""evidence"":""no motion blur; pillows arranged neatly on surface""}]","[{""atom"":""the couch"",""type"":""object"",""verdict"":""supported"",""evidence"":""Target is a long upholstered couch.""},{""atom"":""next to the coffee table"",""type"":""relation"",""verdict"":""supported"",""evidence"":""The coffee table shares a boundary with the left side of the targeted couch; they are adjacent horizontally.""}]",[],[],"[""chaise lounge or daybed style"", ""light beige upholstery with specific pillow colors"", ""positioned directly under central window, left of coffee table"", ""distinct from foreground white couch""]",high,same_category_instance_confusion,"The referring expression correctly identifies the target couch via its relation to the coffee table. The baseline model failed due to same-category instance confusion, selecting a different white couch in the foreground instead of the target light beige couch next to the coffee table."
hallu_000060_COCO_train2014_000000519685,COCO_train2014_000000519685.jpg,the person sitting on the couch,t4_caption_grounding,yes,person,male_presenting,"short dark hair, facial features and build consistent with male presentation",no_automatic_flag,"[{""part"":""shirt"",""value"":""black"",""confidence"":""high"",""evidence"":""solid black short-sleeve t-shirt""},{""part"":""shorts"",""value"":""white"",""confidence"":""high"",""evidence"":""light-colored (appears white) shorts""},{""part"":""socks"",""value"":""white"",""confidence"":""high"",""evidence"":""white ankle socks""}]","[{""part"":""shirt"",""value"":""cotton-like fabric"",""confidence"":""medium"",""evidence"":""matte texture, slight wrinkling typical of cotton t-shirt""},{""part"":""shorts"",""value"":""cotton or synthetic blend"",""confidence"":""medium"",""evidence"":""smooth surface, slight sheen on thigh area suggests possible synthetic blend""}]","[{""attribute"":""posture: sitting reclined"",""confidence"":""high"",""evidence"":""body angled back, legs extended forward, one arm resting on armrest, other near face""}]","[{""value"":""sitting on couch"",""confidence"":""high"",""evidence"":""buttocks and thighs in contact with couch seat, back against backrest""},{""value"":""looking toward camera or nearby"",""confidence"":""medium"",""evidence"":""head turned slightly left, eyes appear directed toward viewer or adjacent person""}]","[{""atom"":""the person"",""type"":""object"",""verdict"":""supported"",""evidence"":""one clearly visible person inside GT box""},{""atom"":""sitting"",""type"":""action_state"",""verdict"":""supported"",""evidence"":""body posture shows seated position with weight on couch""},{""atom"":""on the couch"",""type"":""relation"",""verdict"":""supported"",""evidence"":""direct physical contact between person and couch surface""}]",[],[],"[""only person seated on the couch while others are standing"", ""wearing black shirt and white shorts"", ""reclined posture with hand near face"", ""positioned on left side of scene""]",high,same_category_instance_confusion,"The referring expression accurately describes the GT target, a male-presenting person sitting on a couch. The zero IoU baseline failed by grounding two other people (standing women) in the scene, indicating same-category instance confusion."
hallu_000074_COCO_train2014_000000190469,COCO_train2014_000000190469.jpg,the person behind the vegetables,t2_vqa_grounding|t4_caption_grounding,yes,person,unclear,"only back and shoulder visible; no facial, hair, or clothing gender cues discernible due to low light and blur",unclear,"[{""part"":""upper garment"",""value"":""light-colored (off-white or pale beige)"",""confidence"":""medium"",""evidence"":""diffuse illumination shows a light tone against dark background; exact hue ambiguous due to low lighting""}]","[{""part"":""upper garment"",""value"":""fabric (likely woven)"",""confidence"":""low"",""evidence"":""soft texture and drape suggest fabric, but resolution too low for fiber-level confirmation""}]","[{""attribute"":""posture: standing upright"",""confidence"":""high"",""evidence"":""vertical orientation of torso and shoulders visible above vegetable display""},{""attribute"":""position: behind vegetables"",""confidence"":""high"",""evidence"":""green celery and red tomatoes in foreground partially occlude lower body; person’s torso appears directly behind them""}]","[{""value"":""standing still"",""confidence"":""medium"",""evidence"":""no motion blur; static pose relative to foreground produce""}]","[{""atom"":""the person"",""type"":""object"",""verdict"":""supported"",""evidence"":""Target box encloses a human torso/back, distinct from background and foreground produce.""},{""atom"":""behind the vegetables"",""type"":""relation"",""verdict"":""supported"",""evidence"":""Vegetables (celery, tomatoes) are in front plane; person’s body is occluded by them, confirming rear position.""}]",[],[],"[""occlusion by foreground celery and tomatoes"", ""vertical torso alignment behind produce gap"", ""light-colored garment contrasting with dark background"", ""distinct shoulder contour visible above vegetable line""]",high,same_category_instance_confusion,"The referring expression accurately describes the ground-truth target, a person standing behind vegetables. The baseline models failed due to same-category instance confusion, incorrectly grounding a different person on the left side of the image."
hallu_000094_COCO_train2014_000000483992,COCO_train2014_000000483992.jpg,the dining table with pizza on it,t4_caption_grounding,yes,dining table,not_applicable,,not_applicable,"[{""part"":""table surface"",""value"":""white"",""confidence"":""high"",""evidence"":""smooth white tabletop visible beneath pizza tray""},{""part"":""tray"",""value"":""silver metallic"",""confidence"":""high"",""evidence"":""reflective metal pizza tray resting on table""},{""part"":""pizza"",""value"":""green, white, brown"",""confidence"":""high"",""evidence"":""slices with visible toppings on tray""}]","[{""part"":""table surface"",""value"":""laminate or painted wood"",""confidence"":""medium"",""evidence"":""smooth, non-reflective white surface with slight seam visible""},{""part"":""tray"",""value"":""metal"",""confidence"":""high"",""evidence"":""shiny, reflective, rigid circular tray with raised rim""}]","[{""attribute"":""holds pizza on metal tray"",""confidence"":""high"",""evidence"":""pizza slices clearly resting on metal tray placed on table surface""},{""attribute"":""rectangular table edge visible"",""confidence"":""high"",""evidence"":""straight white edge and corner of table in crop""}]","[{""value"":""supporting food"",""confidence"":""high"",""evidence"":""pizza on tray resting on table""}]","[{""atom"":""dining table"",""type"":""object"",""verdict"":""supported"",""evidence"":""white rectangular table surface with food service items""},{""atom"":""pizza"",""type"":""object"",""verdict"":""supported"",""evidence"":""multiple slices with cheese, basil, crust visible on tray""},{""atom"":""with pizza on it"",""type"":""relation"",""verdict"":""supported"",""evidence"":""pizza slices on metal tray resting directly on table surface within GT box""}]",[],[],"[""white tabletop directly under pizza tray"", ""metal tray legs visible intersecting table surface"", ""proximity to seated diners confirms functional use as dining table""]",low,wrong_category,"The referring expression accurately describes the GT target, a white dining table supporting a pizza on a metal tray. The baseline model failed by localizing to the upper-left background and a person, completely missing the table and pizza."
hallu_000099_COCO_train2014_000000010130,COCO_train2014_000000010130.jpg,the person next to the cell phone,t4_caption_grounding,yes,person,female_presenting,"long dark hair, wearing a light-colored long-sleeve top, visible facial features consistent with female presentation",no_automatic_flag,"[{""part"":""hair"",""value"":""black"",""confidence"":""high"",""evidence"":""long, straight, uniformly dark hair""},{""part"":""top"",""value"":""white or off-white"",""confidence"":""high"",""evidence"":""light-colored long-sleeve shirt, appears white under indoor lighting""},{""part"":""wristband"",""value"":""black"",""confidence"":""high"",""evidence"":""thin black band on left wrist""}]","[{""part"":""top"",""value"":""fabric"",""confidence"":""medium"",""evidence"":""soft drape and creasing typical of woven fabric""}]","[{""attribute"":""wearing glasses"",""confidence"":""high"",""evidence"":""thin-framed eyeglasses visible on face""}]","[{""value"":""holding phone to ear"",""confidence"":""high"",""evidence"":""right hand holding a dark rectangular object against right ear""}]","[{""atom"":""the person"",""type"":""object"",""verdict"":""supported"",""evidence"":""box encloses a single visible person""},{""atom"":""next to"",""type"":""relation"",""verdict"":""supported"",""evidence"":""the person is holding the cell phone against their ear, satisfying spatial adjacency""},{""atom"":""the cell phone"",""type"":""object"",""verdict"":""supported"",""evidence"":""dark rectangular device held in hand, consistent with smartphone""}]",[],[],"[""person holding phone to right ear"", ""long black hair"", ""white long-sleeve top""]",high,same_category_instance_confusion,"The baseline model localized a different person (staff member) on the left side of the image, resulting in a zero IoU with the ground truth target who is the customer holding the cell phone."
hallu_000114_COCO_train2014_000000462080,COCO_train2014_000000462080.jpg,the orange next to the apple,t4_caption_grounding,yes,orange,not_applicable,,not_applicable,"[{""part"":""peel"",""value"":""orange"",""confidence"":""high"",""evidence"":""vibrant orange peel with characteristic dimpled texture, uniformly colored""}]","[{""part"":""peel"",""value"":""citrus peel (textured, slightly glossy)"",""confidence"":""high"",""evidence"":""distinctive pitted surface and subtle specular highlights indicating waxy, textured skin""}]","[{""attribute"":""round shape"",""confidence"":""high"",""evidence"":""circular cross-section visible in crop; full sphere implied by curvature""},{""attribute"":""no stem or leaf visible"",""confidence"":""high"",""evidence"":""top of fruit not visible in crop; only side/curved surface shown""}]","[{""value"":""stationary, resting among other fruits"",""confidence"":""high"",""evidence"":""no motion blur; positioned adjacent to apple and other oranges in still-life arrangement""}]","[{""atom"":""the orange"",""type"":""object"",""verdict"":""supported"",""evidence"":""GT box tightly encloses a clearly identifiable orange""},{""atom"":""next to the apple"",""type"":""relation"",""verdict"":""supported"",""evidence"":""GT orange shares a visible edge with a red apple on its left; spatial adjacency confirmed""},{""atom"":""orange color"",""type"":""color"",""verdict"":""supported"",""evidence"":""peel is unambiguously orange""},{""atom"":""exactly one orange"",""type"":""count"",""verdict"":""supported"",""evidence"":""box contains only one complete fruit; no partial overlaps with other oranges inside box bounds""}]",[],[],"[""immediate adjacency to red apple on left"", ""smaller size relative to other oranges in scene"", ""positioned lower-right among fruit cluster""]",high,wrong_category,"The baseline model incorrectly localized the red apple instead of the target orange, resulting in a category error and zero IoU despite the clear relational cue."
