base_sample_id,image_filename,source_expression,repaired_expression,repair_decision,source_expression_truth,confidence,added_atoms,removed_or_replaced_atoms,evidence_citations,reason,review_status,eligible_for_training
hallu_000005_COCO_train2014_000000039527,COCO_train2014_000000039527.jpg,the teddy bear next to the person,the pink teddy bear on the person's head,rewrite,ambiguous,high,"[{""text"": ""pink"", ""type"": ""color"", ""evidence_cue"": ""entire visible plush body is vivid pink""}, {""text"": ""on the person's head"", ""type"": ""relation"", ""evidence_cue"": ""lies directly on top of the person’s head/hair""}]","[{""source_text"": ""next to the person"", ""replacement_text"": ""on the person's head"", ""reason"": ""more precise spatial relation to distinguish from other teddy bears near or held by the person""}]","[""entire visible plush body is vivid pink"", ""lies directly on top of the person’s head/hair""]",The source expression is ambiguous due to the presence of multiple teddy bears in the scene. Adding the distinctive color 'pink' and specifying the exact position 'on the person's head' uniquely and accurately identifies the target.,pending_human_confirmation,False
hallu_000007_COCO_train2014_000000139152,COCO_train2014_000000139152.jpg,the car behind the bird,the car behind the bird,keep,supported,high,[],[],"[""bird is in sharp focus on foreground car roof; GT-boxed object is out-of-focus in background, confirming spatial relation 'behind'""]","The source expression accurately and unambiguously identifies the target car by its spatial relation to the bird, successfully distinguishing it from the foreground car the bird is standing on.",pending_human_confirmation,False
hallu_000008_COCO_train2014_000000500224,COCO_train2014_000000500224.jpg,the catcher in the blue uniform,the catcher in the blue uniform,keep,supported,high,[],[],"[""Person is wearing full catcher’s equipment and is in catcher’s stance."", ""Chest protector is distinctly blue, acting as the dominant visible uniform element."", ""Only one person wearing full catcher gear""]","The source expression truthfully and sufficiently identifies the exact target. There is only one catcher visible, and the distinct blue chest protector supports the description of a blue uniform.",pending_human_confirmation,False
hallu_000055_COCO_train2014_000000555211,COCO_train2014_000000555211.jpg,the couch next to the coffee table,the light beige couch under the window next to the coffee table,rewrite,ambiguous,medium,"[{""text"": ""light beige"", ""type"": ""color"", ""evidence_cue"": ""light beige or cream upholstery""}, {""text"": ""under the window"", ""type"": ""relation"", ""evidence_cue"": ""placed under a large window with bright daylight""}]",[],"[""light beige or cream upholstery"", ""placed under a large window with bright daylight"", ""distinct white sectional couch in the foreground""]",The source expression is ambiguous due to the presence of another couch in the foreground. Adding the color 'light beige' and the spatial relation 'under the window' uniquely identifies the target couch and resolves the same-category instance confusion.,pending_human_confirmation,False
hallu_000060_COCO_train2014_000000519685,COCO_train2014_000000519685.jpg,the person sitting on the couch,the person sitting on the couch,keep,supported,high,[],[],"[""only person seated (others are standing)"", ""person is seated on a brown leather-style couch""]","The source expression truthfully and sufficiently identifies the exact target. Visual evidence confirms the target is the only person seated on the couch, while other people in the scene are standing, making the expression unambiguous.",pending_human_confirmation,False
hallu_000074_COCO_train2014_000000190469,COCO_train2014_000000190469.jpg,the person behind the vegetables,the person in the light-colored garment behind the vegetables,rewrite,ambiguous,high,"[{""text"": ""in the light-colored garment"", ""type"": ""attribute"", ""evidence_cue"": ""light-colored garment contrasting with dark background""}]",[],"[""light-colored garment contrasting with dark background"", ""a different person on the left side of the image, wearing darker clothing, partially visible behind vegetables""]",The source expression is ambiguous because there is another person also partially visible behind the vegetables. Adding the light-colored garment distinguishes the target from the distractor in darker clothing.,pending_human_confirmation,False
hallu_000099_COCO_train2014_000000010130,COCO_train2014_000000010130.jpg,the person next to the cell phone,the person holding the cell phone to their ear,rewrite,ambiguous,high,"[{""text"": ""holding"", ""type"": ""action_state"", ""evidence_cue"": ""holding phone to ear""}, {""text"": ""to their ear"", ""type"": ""relation"", ""evidence_cue"": ""holding phone to right ear""}]","[{""source_text"": ""next to"", ""replacement_text"": ""holding ... to their ear"", ""reason"": ""'next to' is a weak and ambiguous spatial relation given 3 same-category distractors; 'holding to their ear' is the specific disambiguating action observed.""}]","[""holding phone to right ear"", ""right hand holding a dark rectangular object (phone) against right ear""]","The source expression uses the weak relation 'next to', which is ambiguous given 3 same-category distractors. Rewriting to 'holding the cell phone to their ear' uses the specific disambiguating action from the visual evidence to uniquely identify the target.",pending_human_confirmation,False
hallu_000114_COCO_train2014_000000462080,COCO_train2014_000000462080.jpg,the orange next to the apple,the orange directly to the right of the red apple,rewrite,ambiguous,high,"[{""text"": ""red"", ""type"": ""color"", ""evidence_cue"": ""red apple occupies left side of frame""}, {""text"": ""directly to the right of"", ""type"": ""relation"", ""evidence_cue"": ""directly adjacent (to the right) of a red apple""}]","[{""source_text"": ""next to"", ""replacement_text"": ""directly to the right of"", ""reason"": ""replaced with more precise directional relation to distinguish from other orange distractors""}]","[""directly adjacent (to the right) of a red apple"", ""red apple occupies left side of frame""]",The original expression is ambiguous due to the presence of multiple orange distractors. Adding the specific color of the apple and the exact directional relation uniquely and naturally identifies the target.,pending_human_confirmation,False
hallu_000122_COCO_train2014_000000097411,COCO_train2014_000000097411.jpg,the pizza slice next to the person,the rightmost pizza slice next to the person,rewrite,ambiguous,high,"[{""text"": ""rightmost"", ""type"": ""attribute"", ""evidence_cue"": ""rightmost slice in the box""}]",[],"[""GT box encloses the rightmost pizza slice in the box"", ""slice positioned closest to the person's leg on the right""]",The source expression is ambiguous because there are two pizza slices in the box. Adding 'rightmost' clarifies that the target is the specific slice closest to the person on the right.,pending_human_confirmation,False
hallu_000127_COCO_train2014_000000399138,COCO_train2014_000000399138.jpg,the person sitting next to the sandwich,the person sitting and holding a sandwich,rewrite,contradicted,high,"[{""text"": ""holding a sandwich"", ""type"": ""action_state"", ""evidence_cue"": ""holding sandwich in right hand""}]","[{""source_text"": ""next to"", ""replacement_text"": ""and holding"", ""reason"": ""the person is holding the sandwich, not sitting next to it as a separate object""}]","[""holding sandwich in right hand"", ""the target is not sitting *next to* the sandwich as a separate object on a surface; rather, she is holding it""]",The source expression incorrectly states the person is sitting next to the sandwich. Visual evidence confirms the person is holding the sandwich. The expression is rewritten to reflect this action.,pending_human_confirmation,False
